Snugg Pro ID,kWh Saved,Mbtu Saved,Annual Fuel Dollars Saved,Annual Electric Dollars Saved,Total Savings,CO2 Tons Diverted,Mbtu Percent,CO 2 Percent,Mirr,SIR,Annual Fuel Therms Saved,Year Built,Conditioned Area (sqft),Front of Building Orientation,Blower Door Reading,Blower Door Reading Improved,HVAC Duct Location,HVAC Duct Leakage Value,HVAC Duct Leakage Value Improved,HVAC Duct Efficiency,HVAC Duct Efficiency Improved,HVAC System Equipment Type,HVAC Heating Energy Source,HVAC Heating Is Condensing
272300,1099.927,3.76,0,138,138.37,4.9,10,10,3,0.7,0.0,1991.0,1104.0,South West,1654.0,1240.5,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,92.82,92.82,Central Heat Pump (shared ducts),Electricity,
269637,15.13446748,4.67,58,2,59.46,4.0,7,6,9,2.0,46.22630356,1990.0,2339.0,South East,2989.0,2974.0,Crawlspace (unconditioned),0.0,0.0,78.41,81.07,Furnace / Central AC (shared ducts),Natural Gas,No
271000,507.0020425,2.03,0,75,63.78,3.4,7,8,2,0.6,0.0,1962.0,1935.0,North West,1143.0,981.0,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
166285,13390.06118,59.24,294,2140,1798.38,4.0,53,58,4,0.8,80.56202438,1999.0,3082.0,North,3195.0,1928.0,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Furnace / Central AC (shared ducts),Propane,Yes
275290,-26.20079858,9.51,119,-3,108.59,5.5,14,8,8,1.7,95.94792915,1950.0,768.0,North East,2690.0,1714.0,Attic (unconditioned),0.0,0.0,88.98,88.98,Furnace with standalone ducts,Natural Gas,Yes
279708,-3997.574658,52.5,821,-502,317.89,11.4,38,11,-2,0.3,661.4102692,1939.0,2319.0,North West,3223.0,2417.25,50/50 Basement (unconditioned) - Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Natural Gas,No
271714,3086.233002,10.53,0,388,388.25,3.6,30,30,-1,0.3,0.0,1976.0,1162.0,North West,1380.0,1374.0,,,,,0.0,Ductless Heat Pump,Electricity,
274898,84.14681713,15.9,200,-9,400.34,48.9,2,2,0,0.0,161.4375349,1961.0,1539.0,West,5591.0,3699.0,Crawlspace (unconditioned),0.0,0.0,83.02,93.56,Furnace / Central AC (shared ducts),Natural Gas,Yes
278047,659.1041283,2.46,0,91,82.91,5.5,4,4,-1,0.3,0.0,2003.0,2392.0,South West,2722.0,2579.0,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
276549,3588.098167,5.22,0,218,451.38,4.7,9,10,0,0.0,0.0,1972.0,1775.0,South East,4252.0,4016.0,Crawlspace (unconditioned),0.0,0.0,75.84,82.04,Central Heat Pump (shared ducts),Electricity,
276844,206.9451375,9.29,107,26,132.57,3.6,15,13,7,1.4,85.85084685,1990.0,2292.0,South East,1960.0,1798.0,50/50 Attic - Basement (both unconditioned),0.0,0.0,80.65,93.8,Furnace / Central AC (shared ducts),Natural Gas,No
275286,5779.167985,19.75,0,728,727.02,3.2,37,37,19,12.6,0.0,1972.0,1194.3,West,2680.0,2128.0,,,,,0.0,Electric Resistance,Electricity,
277164,737.8417281,2.54,0,94,92.82,3.7,8,9,-5,0.1,0.0,1988.0,628.0,North West,1211.0,908.25,Attic (unconditioned),0.0,0.0,79.54,84.93,Central Heat Pump (shared ducts),Electricity,
279958,1728.061099,5.9,0,218,217.39,6.1,11,13,5,0.9,0.0,2015.0,1992.0,North East,1800.0,1350.0,Crawlspace (unconditioned),0.0,0.0,85.4,100.0,Ductless Heat Pump,Electricity,
277425,1462.490468,11.7,275,142,546.18,10.9,10,9,9,2.2,78.38295837,1984.0,3284.0,North,2281.0,2159.0,Intentionally Conditioned Space,0.0,0.0,99.71,99.71,Ductless Heat Pump,Electricity,Yes
278052,18.19238631,17.3,358,18,93.83,7.8,15,14,13,4.6,167.9255567,1950.0,1142.0,South West,2127.0,1.0,Attic (unconditioned),0.0,0.0,84.67,100.0,Central Heat Pump (shared ducts),Fuel Oil,
280792,4112.173151,67.82,677,488,1369.98,22.0,19,18,6,1.1,545.8502333,1950.0,8892.0,South East,15771.0,11828.25,Crawlspace (unconditioned),0.0,0.0,69.32,100.0,Furnace / Central AC (shared ducts),Natural Gas,Yes
